commentaire,commentaire_nettoye,commentaire_spacy,lemmes,tokens_utiles,sentiment,probleme
"Nous avons toujours le cuivre, mon ami. On est vieux jeu. Installez-nous la fibre, après ce sera plus simple.,","Nous avons toujours le cuivre, mon ami. On est vieux jeu. Installez-nous la fibre, après ce sera plus simple.","Nous avons toujours le cuivre, mon ami. On est vieux jeu. Installez-nous la fibre, après ce sera plus simple.",cuivre ami vieux jeu installer nous fibre simple,cuivre ami vieux jeu installez -nous fibre simple,positif,
"J’ai un abonnement 120 Mbps, mais en réalité j’ai à peine 25 Mbps.,","J’ai un abonnement 120 Mbps, mais en réalité j’ai à peine 25 Mbps.","J’ai un abonnement 120 Mbps, mais en réalité j’ai à peine 25 Mbps.",abonnemer 120 mbps réalité peine 25 mbps,abonnement 120 mbps réalité peine 25 mbps,négatif,problème réseau
"Qu’est-ce que c’est que ça ? Avec notre argent, vous nous méprisez. Travaillez pour nous ! Idoom 4G, testez notre vitesse aussi. La fibre est installée dans certains quartiers depuis 2022, mais toujours pas activée ailleurs. Le câble est là, tout est prêt. Pourquoi nous faites-vous ça ? Vous voulez qu’on vous poursuive en justice ? Il y a 48 millions d’Algériens, deux jours de plaintes et vous verrez !,","Qu’est-ce que c’est que ça ? Avec notre argent, vous nous méprisez. Travaillez pour nous ! Idoom 4G, testez notre vitesse aussi. La fibre est installée dans certains quartiers depuis 2022, mais toujours pas activée ailleurs. Le câble est là, tout est prêt. Pourquoi nous faites-vous ça ? Vous voulez qu’on vous poursuive en justice ? Il y a 48 millions d’Algériens, deux jours de plaintes et vous verrez !","Qu’est-ce que c’est que ça ? Avec notre argent, vous nous méprisez. Travaillez pour nous ! Idoom 4G, testez notre vitesse aussi. La fibre est installée dans certains quartiers depuis 2022, mais toujours pas activée ailleurs. Le câble est là, tout est prêt. Pourquoi nous faites-vous ça ? Vous voulez qu’on vous poursuive en justice ? Il y a 48 millions d’Algériens, deux jours de plaintes et vous verrez !",-ce argent mépriser travailler idoom 4 gramme tester vitesse fibre installer quartier 2022 activer ailleurs câble prêt fait vous vouloir poursuivre justice 48 million algériens jour plainte voir,-ce argent méprisez travaillez idoom 4 g testez vitesse fibre installée quartiers 2022 activée ailleurs câble prêt faites -vous voulez poursuive justice 48 millions algériens jours plaintes verrez,négatif,problème réseau
"Je veux comprendre, j’ai 10 mégas mais je reçois seulement 5 mégas. Où sont passées les autres 5 mégas ? C’est trop lent.,","Je veux comprendre, j’ai 10 mégas mais je reçois seulement 5 mégas. Où sont passées les autres 5 mégas ? C’est trop lent.","Je veux comprendre, j’ai 10 mégas mais je reçois seulement 5 mégas. Où sont passées les autres 5 mégas ? C’est trop lent.",vouloir comprendre 10 méga-octet recevoir 5 mégas passer 5 mégas trop lent,veux comprendre 10 mégas reçois 5 mégas passées 5 mégas trop lent,négatif,facturation
"Votre application Idoom Fibre ne fonctionne pas, il y a un bug.,","Votre application Idoom Fibre ne fonctionne pas, il y a un bug.","Votre application Idoom Fibre ne fonctionne pas, il y a un bug.",application idoom fibre fonctionner bug,application idoom fibre fonctionne bug,négatif,problème réseau
"Installez-nous la fibre, ensuite ce sera facile.,","Installez-nous la fibre, ensuite ce sera facile.","Installez-nous la fibre, ensuite ce sera facile.",installer nous fibre ensuite facile,installez -nous fibre ensuite facile,positif,
"Est-il logique qu’après 12 jours (le 27/11/2024) de l’installation à domicile, l’internet ne soit toujours pas activé, alors que le téléphone fonctionne ?,","Est-il logique qu’après 12 jours (le 27/11/2024) de l’installation à domicile, l’internet ne soit toujours pas activé, alors que le téléphone fonctionne ?","Est-il logique qu’après 12 jours (le 27/11/2024) de l’installation à domicile, l’internet ne soit toujours pas activé, alors que le téléphone fonctionne ?",est-il logique 12 jour 27/11/2024 installation domicile internet activer téléphone fonctionne,est-il logique 12 jours 27/11/2024 installation domicile internet activé téléphone fonctionne,négatif,problème réseau
"Où est la fibre ? Ça prend trop de temps.,",Où est la fibre ? Ça prend trop de temps.,Où est la fibre ? Ça prend trop de temps.,fibre prendre trop temps,fibre prend trop temps,négatif,problème réseau
"Avant cette offre, est-ce que le centre-ville de Touggourt a été raccordé ?,","Avant cette offre, est-ce que le centre-ville de Touggourt a été raccordé ?","Avant cette offre, est-ce que le centre-ville de Touggourt a été raccordé ?",offre -ce centre ville touggourt être raccorder,offre -ce centre ville touggourt été raccordé,positif,
"Combien de temps faut-il pour installer une ligne fixe ?,",Combien de temps faut-il pour installer une ligne fixe ?,Combien de temps faut-il pour installer une ligne fixe ?,temps falloir il installer ligne fixe,temps faut -il installer ligne fixe,négatif,problème réseau
"Je suis prêt à passer à la fibre, mais on m’a dit que ma ligne ne supporte que 20 Mbps alors que je suis en plein centre-ville, près de l’université centrale de Biskra.,","Je suis prêt à passer à la fibre, mais on m’a dit que ma ligne ne supporte que 20 Mbps alors que je suis en plein centre-ville, près de l’université centrale de Biskra.","Je suis prêt à passer à la fibre, mais on m’a dit que ma ligne ne supporte que 20 Mbps alors que je suis en plein centre-ville, près de l’université centrale de Biskra.",prêt passer fibre ligne support 20 mbps plein centre ville université central biskra,prêt passer fibre ligne supporte 20 mbps plein centre ville université centrale biskra,négatif,problème réseau
"Le débit avec la fibre est incroyable. Que Dieu vous donne la santé. J’espère que ce sera généralisé dans tout le pays.,",Le débit avec la fibre est incroyable. Que Dieu vous donne la santé. J’espère que ce sera généralisé dans tout le pays.,Le débit avec la fibre est incroyable. Que Dieu vous donne la santé. J’espère que ce sera généralisé dans tout le pays.,débit fibre incroyable dieu donne santé espérer généraliser pays,débit fibre incroyable dieu donne santé espère généralisé pays,positif,
"Comment s’intéresser aux offres si la plupart des régions du pays ne sont pas éligibles à la fibre ?,",Comment s’intéresser aux offres si la plupart des régions du pays ne sont pas éligibles à la fibre ?,Comment s’intéresser aux offres si la plupart des régions du pays ne sont pas éligibles à la fibre ?,intéresser offre plupart région pays éligible fibre,intéresser offres plupart régions pays éligibles fibre,négatif,problème réseau
"L’espace client est bloqué depuis une semaine.,",L’espace client est bloqué depuis une semaine.,L’espace client est bloqué depuis une semaine.,espace client bloquer semaine,espace client bloqué semaine,négatif,problème réseau
"Fournissez-nous la fibre, ensuite on s’occupe du reste.,","Fournissez-nous la fibre, ensuite on s’occupe du reste.","Fournissez-nous la fibre, ensuite on s’occupe du reste.",fournissez nous fibre ensuite occuper,fournissez -nous fibre ensuite occupe,positif,
"J’ai payé depuis 11 jours et ils ne sont toujours pas venus nous l’installer.,",J’ai payé depuis 11 jours et ils ne sont toujours pas venus nous l’installer.,J’ai payé depuis 11 jours et ils ne sont toujours pas venus nous l’installer.,payer 11 jour venir installer,payé 11 jours venus installer,neutre,
"J’ai un modem 4G et les câbles internet sont à 250 mètres de chez moi. Est-ce que je peux passer à Idoom Fibre ?,",J’ai un modem 4G et les câbles internet sont à 250 mètres de chez moi. Est-ce que je peux passer à Idoom Fibre ?,J’ai un modem 4G et les câbles internet sont à 250 mètres de chez moi. Est-ce que je peux passer à Idoom Fibre ?,modem 4 gramme câble internet 250 mètre -ce passer idoom fibre,modem 4 g câbles internet 250 mètres -ce passer idoom fibre,positif,
"Donc certains profitent, et les autres non ? Installez-nous la fibre, vivons tous ou mourons tous.,","Donc certains profitent, et les autres non ? Installez-nous la fibre, vivons tous ou mourons tous.","Donc certains profitent, et les autres non ? Installez-nous la fibre, vivons tous ou mourons tous.",profiter non installer nous fibre vivon mouron,profitent non installez -nous fibre vivons mourons,négatif,problème réseau
"La fibre est proche de chez nous, mais on est toujours en ADSL. C’est très lent.,","La fibre est proche de chez nous, mais on est toujours en ADSL. C’est très lent.","La fibre est proche de chez nous, mais on est toujours en ADSL. C’est très lent.",fibre adsl lent,fibre adsl lent,négatif,problème réseau
"Merci de répondre : j’ai un modem fibre qui est tombé et cassé, quelles sont les démarches ? Faut-il en acheter un nouveau ?,","Merci de répondre : j’ai un modem fibre qui est tombé et cassé, quelles sont les démarches ? Faut-il en acheter un nouveau ?","Merci de répondre : j’ai un modem fibre qui est tombé et cassé, quelles sont les démarches ? Faut-il en acheter un nouveau ?",répondre modem fibre tomber cassé démarche falloir il acheter,répondre modem fibre tombé cassé démarches faut -il acheter,positif,
"L’espace client est en panne depuis plus d’une semaine. Merci de le réparer.,",L’espace client est en panne depuis plus d’une semaine. Merci de le réparer.,L’espace client est en panne depuis plus d’une semaine. Merci de le réparer.,espace client pann semaine réparer,espace client panne semaine réparer,négatif,problème réseau
"Apportez-nous la fibre, après on se débrouillera.,","Apportez-nous la fibre, après on se débrouillera.","Apportez-nous la fibre, après on se débrouillera.",apportez nous fibre débrouiller,apportez -nous fibre débrouillera,positif,
"Le signal est toujours rouge depuis presque 24 heures.,",Le signal est toujours rouge depuis presque 24 heures.,Le signal est toujours rouge depuis presque 24 heures.,signal rouge presque 24 heure,signal rouge presque 24 heures,négatif,réactivité
"L’application MyIdoom et l’espace client ne fonctionnent pas, réparez-les.,","L’application MyIdoom et l’espace client ne fonctionnent pas, réparez-les.","L’application MyIdoom et l’espace client ne fonctionnent pas, réparez-les.",application myidoom espace client fonctionner réparer,application myidoom espace client fonctionnent réparez,négatif,problème réseau
"Cela fait presque 12 heures, personne ne nous compense.,","Cela fait presque 12 heures, personne ne nous compense.","Cela fait presque 12 heures, personne ne nous compense.",presque 12 heure compenser,presque 12 heures compense,neutre,
"Il n’y a rien.,",Il n’y a rien.,Il n’y a rien.,rien,rien,neutre,
"Il n’y a plus de signal 4G depuis hier, il est 11h et toujours rien.,","Il n’y a plus de signal 4G depuis hier, il est 11h et toujours rien.","Il n’y a plus de signal 4G depuis hier, il est 11h et toujours rien.",signal 4 gramme hier 11h rien,signal 4 g hier 11h rien,neutre,
"Il n’y a pas de signal sur l’appareil 4G. Quand on cherche le réseau, il trouve celui de Djezzy, Ooredoo et Mobilis, mais il","Il n’y a pas de signal sur l’appareil 4G. Quand on cherche le réseau, il trouve celui de Djezzy, Ooredoo et Mobilis, mais il","Il n’y a pas de signal sur l’appareil 4G. Quand on cherche le réseau, il trouve celui de Djezzy, Ooredoo et Mobilis, mais il",signal appareil 4g. cherche réseau trouver djezzy ooredoo mobilis,signal appareil 4g. cherche réseau trouve djezzy ooredoo mobilis,neutre,
